customer_id,name,age,purchase_amount,region
1,Customer_1,56.0,483.16,East
2,Customer_2,69.0,406.11,South
3,Customer_3,46.0,159.26,West
4,Customer_4,32.0,57.86,North
5,Customer_5,60.0,345.27,East
6,Customer_6,,225.67,West
7,Customer_7,,69.8,West
8,Customer_8,,252.64,South
9,Customer_9,36.0,26.85,East
10,Customer_10,40.0,455.57,East
11,Customer_11,28.0,136.8,North
12,Customer_12,28.0,334.64,East
13,Customer_13,41.0,162.74,North
14,Customer_14,53.0,264.83,East
15,Customer_15,57.0,277.89,South
16,Customer_16,41.0,,East
17,Customer_17,20.0,485.1,North
18,Customer_18,39.0,389.82,North
19,Customer_19,19.0,470.35,South
20,Customer_20,41.0,448.47,East
21,Customer_21,61.0,302.97,East
22,Customer_22,47.0,461.72,South
23,Customer_23,55.0,53.36,East
24,Customer_24,19.0,106.03,East
25,Customer_25,38.0,32.16,North
26,Customer_26,50.0,169.41,East
27,Customer_27,29.0,200.45,East
28,Customer_28,39.0,142.96,South
29,Customer_29,61.0,416.08,South
30,Customer_30,42.0,184.81,West
31,Customer_31,66.0,147.66,North
32,Customer_32,44.0,275.92,East
33,Customer_33,59.0,79.05,East
34,Customer_34,45.0,403.08,West
35,Customer_35,33.0,46.53,East
36,Customer_36,32.0,493.57,North
37,Customer_37,64.0,388.4,West
38,Customer_38,68.0,107.37,North
39,Customer_39,61.0,12.71,West
40,Customer_40,69.0,409.58,West
41,Customer_41,20.0,356.36,South
42,Customer_42,54.0,367.21,North
43,Customer_43,68.0,387.92,East
44,Customer_44,24.0,46.28,East
45,Customer_45,38.0,185.65,North
46,Customer_46,26.0,66.78,East
47,Customer_47,56.0,432.92,East
48,Customer_48,35.0,315.42,North
49,Customer_49,21.0,172.14,West
50,Customer_50,42.0,41.14,North
